IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
172.20.10.1,2.254ms,2.308ms,3.280ms,www.google.com,24-Nov,2,6,NA,NA
107.243.2.7,36.902ms,*,67.446ms,www.google.com,24-Nov,3,6,NA,NA
12.255.10.34,62.394ms,73.934ms,61.194ms,www.google.com,24-Nov,10,6,7018,"ATT-INTERNET4, US"
142.251.60.19,49.041ms,53.889ms,41.168ms,www.google.com,24-Nov,13,6,15169,"GOOGLE, US"
142.250.191.228,55.255ms,40.074ms,57.809ms,www.google.com,24-Nov,14,6,15169,"GOOGLE, US"
172.31.160.1,0.211ms,0.117ms,0.123ms,www.linkedin.com,24-Nov,1,1,NA,NA
172.20.10.1,1.918ms,1.973ms,1.765ms,www.linkedin.com,24-Nov,2,1,NA,NA
107.243.2.7,34.512ms,*,209.982ms,www.linkedin.com,24-Nov,3,1,NA,NA
32.141.192.2,75.797ms,65.999ms,56.418ms,www.linkedin.com,24-Nov,10,1,7018,"ATT-INTERNET4, US"
172.31.160.1,0.235ms,0.145ms,0.126ms,www.linkedin.com,24-Nov,1,2,NA,NA
172.20.10.1,2.677ms,2.414ms,2.492ms,www.linkedin.com,24-Nov,2,2,NA,NA
107.243.2.7,37.865ms,*,80.422ms,www.linkedin.com,24-Nov,3,2,NA,NA
32.141.192.2,672.617ms,72.693ms,41.330ms,www.linkedin.com,24-Nov,10,2,7018,"ATT-INTERNET4, US"
172.31.160.1,0.472ms,0.611ms,0.263ms,www.linkedin.com,24-Nov,1,3,NA,NA
172.20.10.1,5.593ms,4.780ms,4.224ms,www.linkedin.com,24-Nov,2,3,NA,NA
107.243.2.135,54.419ms,*,*,www.linkedin.com,24-Nov,3,3,NA,NA
32.141.192.2,*,69.755ms,63.007ms,www.linkedin.com,24-Nov,10,3,,
172.31.160.1,0.997ms,0.237ms,0.224ms,www.linkedin.com,24-Nov,1,4,NA,NA
172.20.10.1,4.155ms,4.165ms,4.985ms,www.linkedin.com,24-Nov,2,4,NA,NA
107.243.2.7,34.146ms,*,*,www.linkedin.com,24-Nov,3,4,NA,NA
32.141.192.2,79.531ms,43.315ms,40.162ms,www.linkedin.com,24-Nov,10,4,7018,"ATT-INTERNET4, US"
172.31.160.1,0.317ms,0.221ms,0.258ms,www.linkedin.com,24-Nov,1,5,NA,NA
172.20.10.1,3.721ms,3.763ms,3.306ms,www.linkedin.com,24-Nov,2,5,NA,NA
107.243.2.7,32.472ms,*,32.414ms,www.linkedin.com,24-Nov,3,5,NA,NA
32.141.192.2,52.314ms,53.817ms,38.648ms,www.linkedin.com,24-Nov,10,5,7018,"ATT-INTERNET4, US"
172.31.160.1,0.296ms,0.228ms,0.253ms,www.linkedin.com,24-Nov,1,6,NA,NA
172.20.10.1,4.595ms,3.955ms,3.531ms,www.linkedin.com,24-Nov,2,6,NA,NA
107.243.2.135,506.981ms,*,*,www.linkedin.com,24-Nov,3,6,NA,NA
32.141.192.2,83.195ms,46.052ms,43.078ms,www.linkedin.com,24-Nov,10,6,7018,"ATT-INTERNET4, US"
172.31.160.1,0.403ms,0.293ms,0.300ms,www.payments.pitt.edu,24-Nov,1,1,NA,NA
172.20.10.1,9.687ms,2.474ms,12.595ms,www.payments.pitt.edu,24-Nov,2,1,NA,NA
107.243.2.135,29.648ms,*,45.167ms,www.payments.pitt.edu,24-Nov,3,1,NA,NA
89.149.136.181,73.548ms,49.145ms,53.934ms,www.payments.pitt.edu,24-Nov,10,1,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,54.501ms,71.350ms,47.545ms,www.payments.pitt.edu,24-Nov,11,1,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,59.828ms,59.856ms,70.382ms,www.payments.pitt.edu,24-Nov,12,1,33154,"DQECOM, US"
64.58.254.49,57.164ms,52.226ms,53.222ms,www.payments.pitt.edu,24-Nov,13,1,33154,"DQECOM, US"
136.142.2.162,95.039ms,50.819ms,56.287ms,www.payments.pitt.edu,24-Nov,15,1,4130,"UPITT-AS, US"
136.142.253.237,57.547ms,75.601ms,63.551ms,www.payments.pitt.edu,24-Nov,16,1,4130,"UPITT-AS, US"
136.142.156.140,86.274ms,52.339ms,54.708ms,www.payments.pitt.edu,24-Nov,17,1,4130,"UPITT-AS, US"
172.31.160.1,0.199ms,0.108ms,0.099ms,www.payments.pitt.edu,24-Nov,1,2,NA,NA
